subject,acc_mean,f1_macro_mean,k,n_classes,crop,motor_only,zscore_epoch,n_csp,fb_bands
S001,0.6333333333333333,0.6196428571428572,5,4,"(1.0, 4.5)",False,False,4,11
S002,0.6433823529411764,0.6274891774891774,5,4,"(1.0, 4.5)",False,False,4,11
S003,0.5444444444444445,0.5362085137085137,5,4,"(1.0, 4.5)",False,False,4,11
S004,0.713970588235294,0.718001443001443,5,4,"(1.0, 4.5)",False,False,4,11
S005,0.39264705882352946,0.37726190476190474,5,4,"(1.0, 4.5)",False,False,4,11
S006,0.35735294117647054,0.3296825396825397,5,4,"(1.0, 4.5)",False,False,4,11
S007,0.8666666666666666,0.8610497835497835,5,4,"(1.0, 4.5)",False,False,4,11
S008,0.6536764705882353,0.6364862914862914,5,4,"(1.0, 4.5)",False,False,4,11
S009,0.3095588235294118,0.2940737040737041,5,4,"(1.0, 4.5)",False,False,4,11
S010,0.6205882352941177,0.6170621045621045,5,4,"(1.0, 4.5)",False,False,4,11
S011,0.40441176470588236,0.38526334776334775,5,4,"(1.0, 4.5)",False,False,4,11
S012,0.6419117647058823,0.6425793650793651,5,4,"(1.0, 4.5)",False,False,4,11
S013,0.5602941176470588,0.5372222222222222,5,4,"(1.0, 4.5)",False,False,4,11
S014,0.35808823529411765,0.3399675324675325,5,4,"(1.0, 4.5)",False,False,4,11
S015,0.6169117647058824,0.601955266955267,5,4,"(1.0, 4.5)",False,False,4,11
S016,0.3235294117647059,0.31493867243867246,5,4,"(1.0, 4.5)",False,False,4,11
S017,0.5014705882352941,0.48683261183261173,5,4,"(1.0, 4.5)",False,False,4,11
S018,0.4036764705882353,0.3897113997113997,5,4,"(1.0, 4.5)",False,False,4,11
S019,0.5595588235294118,0.5651298701298701,5,4,"(1.0, 4.5)",False,False,4,11
S020,0.46397058823529413,0.45568376068376065,5,4,"(1.0, 4.5)",False,False,4,11
S021,0.4333333333333333,0.41388167388167385,5,4,"(1.0, 4.5)",False,False,4,11
S022,0.5222222222222223,0.49410644910644913,5,4,"(1.0, 4.5)",False,False,4,11
S023,0.40588235294117647,0.38395021645021643,5,4,"(1.0, 4.5)",False,False,4,11
S024,0.6142857142857142,0.6092460317460316,5,4,"(1.0, 4.5)",False,False,4,11
S025,0.8095588235294118,0.8053679653679653,5,4,"(1.0, 4.5)",False,False,4,11
S026,0.6191176470588236,0.6006610056610057,5,4,"(1.0, 4.5)",False,False,4,11
S027,0.38161764705882356,0.37389971139971145,5,4,"(1.0, 4.5)",False,False,4,11
S028,0.3713235294117647,0.3562481962481962,5,4,"(1.0, 4.5)",False,False,4,11
S029,0.9444444444444443,0.9443001443001442,5,4,"(1.0, 4.5)",False,False,4,11
S030,0.5777777777777777,0.5645238095238095,5,4,"(1.0, 4.5)",False,False,4,11
S031,0.7992647058823529,0.7999747474747474,5,4,"(1.0, 4.5)",False,False,4,11
S032,0.7555555555555555,0.7478138528138528,5,4,"(1.0, 4.5)",False,False,4,11
S033,0.5720588235294117,0.566125541125541,5,4,"(1.0, 4.5)",False,False,4,11
S034,0.8588235294117647,0.8539466089466089,5,4,"(1.0, 4.5)",False,False,4,11
S035,0.7111111111111111,0.6977633477633478,5,4,"(1.0, 4.5)",False,False,4,11
S036,0.3558823529411764,0.3474206349206349,5,4,"(1.0, 4.5)",False,False,4,11
S037,0.3058823529411765,0.3123124098124098,5,4,"(1.0, 4.5)",False,False,4,11
S039,0.23823529411764705,0.23380092130092128,5,4,"(1.0, 4.5)",False,False,4,11
S040,0.4272058823529412,0.4140476190476191,5,4,"(1.0, 4.5)",False,False,4,11
S041,0.4882352941176471,0.480494227994228,5,4,"(1.0, 4.5)",False,False,4,11
S042,0.8926470588235293,0.8882631257631258,5,4,"(1.0, 4.5)",False,False,4,11
S043,0.7161764705882353,0.7107539682539683,5,4,"(1.0, 4.5)",False,False,4,11
S044,0.4235294117647059,0.4114971139971139,5,4,"(1.0, 4.5)",False,False,4,11
S045,0.6544117647058825,0.6426334776334776,5,4,"(1.0, 4.5)",False,False,4,11
S046,0.5333333333333333,0.5262121212121211,5,4,"(1.0, 4.5)",False,False,4,11
S047,0.4169117647058824,0.4051298701298702,5,4,"(1.0, 4.5)",False,False,4,11
S048,0.5970588235294118,0.5903860028860028,5,4,"(1.0, 4.5)",False,False,4,11
S049,0.7264705882352941,0.7081313131313131,5,4,"(1.0, 4.5)",False,False,4,11
S050,0.5345588235294118,0.5056457431457432,5,4,"(1.0, 4.5)",False,False,4,11
S051,0.4333333333333333,0.4007936507936508,5,4,"(1.0, 4.5)",False,False,4,11
S052,0.5713235294117647,0.5696825396825398,5,4,"(1.0, 4.5)",False,False,4,11
S053,0.46397058823529413,0.44952380952380944,5,4,"(1.0, 4.5)",False,False,4,11
S054,0.5823529411764705,0.5605411255411255,5,4,"(1.0, 4.5)",False,False,4,11
S055,0.5566176470588236,0.5438780663780665,5,4,"(1.0, 4.5)",False,False,4,11
S056,0.7272058823529411,0.7244841269841269,5,4,"(1.0, 4.5)",False,False,4,11
S057,0.4444444444444445,0.4252417027417027,5,4,"(1.0, 4.5)",False,False,4,11
S058,0.6080882352941177,0.5957431457431458,5,4,"(1.0, 4.5)",False,False,4,11
S059,0.4051470588235294,0.3775865800865801,5,4,"(1.0, 4.5)",False,False,4,11
S060,0.6308823529411764,0.6159668109668109,5,4,"(1.0, 4.5)",False,False,4,11
S061,0.5333333333333332,0.5074719724719724,5,4,"(1.0, 4.5)",False,False,4,11
S062,0.8205882352941176,0.8165079365079364,5,4,"(1.0, 4.5)",False,False,4,11
S063,0.43308823529411766,0.4151406926406927,5,4,"(1.0, 4.5)",False,False,4,11
S064,0.3568627450980392,0.3380699855699856,5,4,"(1.0, 4.5)",False,False,4,11
S065,0.6555555555555556,0.6449514374514375,5,4,"(1.0, 4.5)",False,False,4,11
S066,0.5222222222222224,0.47433344433344427,5,4,"(1.0, 4.5)",False,False,4,11
S067,0.32279411764705884,0.31130563880563883,5,4,"(1.0, 4.5)",False,False,4,11
S068,0.5727941176470588,0.5654581529581529,5,4,"(1.0, 4.5)",False,False,4,11
S069,0.47573529411764703,0.4462518037518038,5,4,"(1.0, 4.5)",False,False,4,11
S070,0.6779411764705883,0.6753318903318903,5,4,"(1.0, 4.5)",False,False,4,11
S071,0.7,0.6877453102453103,5,4,"(1.0, 4.5)",False,False,4,11
S072,0.8235294117647058,0.8187842712842712,5,4,"(1.0, 4.5)",False,False,4,11
S073,0.7161764705882353,0.7090764790764791,5,4,"(1.0, 4.5)",False,False,4,11
S074,0.31764705882352945,0.30531246531246536,5,4,"(1.0, 4.5)",False,False,4,11
S075,0.5227941176470589,0.5074025974025973,5,4,"(1.0, 4.5)",False,False,4,11
S076,0.47720588235294115,0.46198634698634694,5,4,"(1.0, 4.5)",False,False,4,11
S077,0.4272058823529412,0.41729770229770224,5,4,"(1.0, 4.5)",False,False,4,11
S078,0.33235294117647063,0.3127849927849927,5,4,"(1.0, 4.5)",False,False,4,11
S079,0.5,0.46198690198690195,5,4,"(1.0, 4.5)",False,False,4,11
S080,0.5117647058823529,0.5068117993117993,5,4,"(1.0, 4.5)",False,False,4,11
S081,0.475,0.4648196248196248,5,4,"(1.0, 4.5)",False,False,4,11
S082,0.4279411764705882,0.414462481962482,5,4,"(1.0, 4.5)",False,False,4,11
S083,0.5222222222222221,0.503496225996226,5,4,"(1.0, 4.5)",False,False,4,11
S084,0.45514705882352946,0.43001082251082245,5,4,"(1.0, 4.5)",False,False,4,11
S085,0.7639705882352941,0.7605844155844157,5,4,"(1.0, 4.5)",False,False,4,11
S086,0.8333333333333334,0.8207811632811632,5,4,"(1.0, 4.5)",False,False,4,11
S087,0.37867647058823534,0.3741357253857253,5,4,"(1.0, 4.5)",False,False,4,11
S090,0.44191176470588234,0.42073232323232324,5,4,"(1.0, 4.5)",False,False,4,11
S091,0.4772058823529412,0.47676046176046166,5,4,"(1.0, 4.5)",False,False,4,11
S093,0.7639705882352941,0.7367565767565768,5,4,"(1.0, 4.5)",False,False,4,11
S094,0.7867647058823529,0.7818145743145742,5,4,"(1.0, 4.5)",False,False,4,11
S095,0.5555555555555556,0.5257645132645133,5,4,"(1.0, 4.5)",False,False,4,11
S096,0.37712418300653594,0.36620102120102116,5,4,"(1.0, 4.5)",False,False,4,11
S097,0.2852941176470588,0.27134920634920634,5,4,"(1.0, 4.5)",False,False,4,11
S098,0.5933823529411765,0.5834920634920635,5,4,"(1.0, 4.5)",False,False,4,11
S099,0.40514705882352936,0.4090945165945167,5,4,"(1.0, 4.5)",False,False,4,11
S101,0.31111111111111106,0.306482683982684,5,4,"(1.0, 4.5)",False,False,4,11
S102,0.6705882352941177,0.6709812409812409,5,4,"(1.0, 4.5)",False,False,4,11
S103,0.41111111111111115,0.393495670995671,5,4,"(1.0, 4.5)",False,False,4,11
S105,0.4154411764705882,0.42400793650793656,5,4,"(1.0, 4.5)",False,False,4,11
S106,0.48888888888888893,0.45728549228549226,5,4,"(1.0, 4.5)",False,False,4,11
S107,0.4666666666666667,0.4601118326118326,5,4,"(1.0, 4.5)",False,False,4,11
S108,0.5132352941176471,0.4954870129870129,5,4,"(1.0, 4.5)",False,False,4,11
S109,0.4527777777777778,0.40499999999999997,5,4,"(1.0, 4.5)",False,False,4,11
GLOBAL,0.5403085991678225,0.527430496957196,5,4,"(1.0, 4.5)",False,False,4,11
